subdirectory,max_size,min_size,avg_size,max_width,min_width,avg_width,max_height,min_height,avg_height,image_count,R,G,B
Black-grass,7128900,5329,586652.4563106796,2840,73,601.504854368932,2670,73,597.3462783171522,309,65.47666681046591,77.20490894203354,88.71154701028694
Charlock,2502724,14641,242680.52654867255,1582,121,409.9446902654867,1582,121,409.94026548672565,452,53.37941540095599,76.21094821345518,80.53102488523274
Cleavers,749956,4356,112315.52537313433,866,66,303.35223880597016,866,66,303.35223880597016,335,50.03691361999476,70.16849444648219,79.12849970971268
Common Chickweed,515524,2916,78510.13884992988,718,54,236.5680224403927,718,54,236.5680224403927,713,49.81687988953926,74.95722253538445,85.36072394348295
Common wheat,2050624,2601,259185.92490118576,1432,51,419.5612648221344,1432,51,419.55731225296444,253,57.37259215731567,72.28896670864285,84.22227034629933
Fat Hen,1620529,3025,129089.11524163569,1273,55,299.31226765799255,1273,55,299.31226765799255,538,53.94423116620132,72.56829547170338,84.06009315228627
Loose Silky-bent,12624964,5041,268309.7309711286,3652,71,370.84120734908134,3457,71,370.0839895013123,762,57.018945668560974,72.50439039625316,86.56262975399211
Maize,3610000,2916,359891.1478599222,1900,54,452.85603112840465,1900,54,452.84435797665367,257,48.20684686788389,77.3318941193594,84.94380418781849
Scentless Mayweed,1505529,2401,92771.99670510709,1227,49,232.74464579901152,1227,49,232.74464579901152,607,48.80061168619095,72.0832865936339,82.69209341981816
Shepherd Purse,1734489,3969,133742.92700729927,1317,63,285.8978102189781,1317,63,285.8978102189781,274,46.06647822304424,71.90902476986858,80.45350445611342
Small-flowered Cranesbill,1012036,3844,143261.4375,1006,62,331.4583333333333,1006,62,331.4583333333333,576,48.81626109857742,72.38856214716856,80.23736986522698
Sugar beet,2941225,2401,397409.78617710585,1715,49,538.5140388768898,1715,49,537.5421166306695,463,55.434671054816455,75.81835187941712,87.26986692037958
